,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
97,"They limit the public event closure of bars, movie theaters, gyms, movie theaters,  something similar to what we have done here.",limit public event closure bar movie theater gym movie theater something similar,"[limit, public, event, closure, bar, movie, theater, gym, movie, theater, something, similar]",limit public event closure bar movie theater gym movie theater something similar,"['limit', 'public', 'event', 'closure', 'bar', 'movie', 'theater', 'gym', 'movie', 'theater', 'something', 'similar']",1
98,They also mandated the use of mask and enforce the use of mask and you can see how dramatic the decrease in the number of cases occur at the end of the summer.,also mandate use mask enforce use mask see dramatic decrease number case occur end summer,"[also, mandate, use, mask, enforce, use, mask, see, dramatic, decrease, number, case, occur, end, summer]",also mandate use mask enforce use mask see dramatic decrease number case occur end summer,"['mandate', 'use', 'mask', 'enforce', 'use', 'mask', 'dramatic', 'decrease', 'number', 'case', 'occur', 'end', 'summer']",6
99,"So it was a very steep, very high.",steep high,"[steep, high]",steep high,"['steep', 'high']",2
100,"But then when when all these measures that are here listed here were implemented, you can see the decrease in the cases or it is possible to actually flatten significantly the curve with public health measures that I think that's good news for us.",measure list implement see decrease case possible actually flatten significantly curve public health measure think good news us,"[measure, list, implement, see, decrease, case, possible, actually, flatten, significantly, curve, public, health, measure, think, good, news, us]",measure list implement see decrease case possible actually flatten significantly curve public health measure think good news us,"['measure', 'list', 'implement', 'decrease', 'case', 'possible', 'flatten', 'significantly', 'curve', 'public', 'health', 'measure', 'good', 'news', 'us']",4
101,And finally the CDC again placed the transmission by airborne in their webpage.,finally cdc place transmission airborne webpage,"[finally, cdc, place, transmission, airborne, webpage]",finally cdc place transmission airborne webpage,"['finally', 'cdc', 'place', 'transmission', 'airborne', 'webpage']",8
102,It was remove.,remove,[remove],remove,['remove'],0
103,"Originally, it was placed for like a day or so hours, and then it was removed.",originally place like day hour remove,"[originally, place, like, day, hour, remove]",originally place like day hour remove,"['originally', 'place', 'day', 'hour', 'remove']",0
104,Then they edited.,edit,[edit],edit,['edit'],0
105,And then they finally made a final statement on these that the cancelled times we spread by airborne transmission and how COVID spreads the CDC webpage.,finally make final statement cancel time spread airborne transmission covid spread cdc webpage,"[finally, make, final, statement, cancel, time, spread, airborne, transmission, covid, spread, cdc, webpage]",finally make final statement cancel time spread airborne transmission covid spread cdc webpage,"['finally', 'make', 'final', 'statement', 'cancel', 'time', 'spread', 'airborne', 'transmission', 'covid', 'spread', 'cdc', 'webpage']",7
106,I think that's the last one.,think last one,"[think, last, one]",think last one,['last'],4
109,Johana,johana,[johana],johana,['johana'],1
111,"Oh, very interesting.",oh interesting,"[oh, interesting]",oh interesting,['interesting'],5
114,"Thanks, Nestor.",thank nestor,"[thank, nestor]",thank nestor,['nestor'],9
115,Always.,always,[always],always,['always'],1
117,I learned so much so quickly with with your power points.,learn much quickly power point,"[learn, much, quickly, power, point]",learn much quickly power point,"['learn', 'quickly', 'power', 'point']",1
119,And I wanted to introduce Doctor Leslie Hayes.,want introduce doctor leslie hayes,"[want, introduce, doctor, leslie, hayes]",want introduce doctor leslie hayes,"['want', 'introduce', 'doctor', 'leslie', 'hayes']",1
120,Leslie has a power point as well.,leslie power point well,"[leslie, power, point, well]",leslie power point well,"['leslie', 'power', 'point', 'well']",1
121,"And we're going to take questions as you have questions from doctor Sosa's Power Point, please put them in the chat any time on and we will get to that.",go take question question doctor sosas power point please put chat time get,"[go, take, question, question, doctor, sosas, power, point, please, put, chat, time, get]",go take question question doctor sosas power point please put chat time get,"['take', 'question', 'question', 'doctor', 'sosas', 'power', 'point', 'please', 'put', 'chat', 'time', 'get']",7
122,And after after we introduce our hub team members.,introduce hub team member,"[introduce, hub, team, member]",introduce hub team member,"['introduce', 'hub', 'team', 'member']",7
123,So Leslie Hayes and I'm struggling to get this up one second.,leslie hayes struggle get one second,"[leslie, hayes, struggle, get, one, second]",leslie hayes struggle get one second,"['leslie', 'hayes', 'struggle', 'get', 'second']",1
124,Take your time.,take time,"[take, time]",take time,"['take', 'time']",11
125,"I thought I might have to have words with Dr. Sosa So when you presented a slide show that showed, um, for us study that showed 56 to 70 is elderly.",think may word dr sosa present slide show show um us study show elderly,"[think, may, word, dr, sosa, present, slide, show, show, um, us, study, show, elderly]",think may word dr sosa present slide show show um us study show elderly,"['may', 'word', 'dr', 'sosa', 'present', 'slide', 'show', 'show', 'us', 'study', 'show', 'elderly']",2
126,"But you redeemed yourself when you called 40 to 60 young with the next study, So Ah, boy, I don't know why this is just not popping up for me here.",redeem call young next study ah boy know pop,"[redeem, call, young, next, study, ah, boy, know, pop]",redeem call young next study ah boy know pop,"['redeem', 'call', 'young', 'next', 'study', 'boy', 'pop']",1
127,"Oh, my God.",oh god,"[oh, god]",oh god,['god'],0
128,"Elena, do you have it?",elena,[elena],elena,['elena'],0
129,Because I just I can't get it to come up today.,get come today,"[get, come, today]",get come today,"['get', 'come', 'today']",1
134,Ah wait found it.,ah wait find,"[ah, wait, find]",ah wait find,"['wait', 'find']",9
136,Can you guys see my slides or No.,guy see slide,"[guy, see, slide]",guy see slide,"['guy', 'slide']",2
139,Great,great,[great],great,['great'],11
142,"Um, when I was gonna present, I thought this was a pretty cool article.",um go present think pretty cool article,"[um, go, present, think, pretty, cool, article]",um go present think pretty cool article,"['present', 'pretty', 'cool', 'article']",2
143,It's from JAMA.,jama,[jama],jama,['jama'],0
144,And it was on the science of persuasion.,science persuasion,"[science, persuasion]",science persuasion,"['science', 'persuasion']",7
